Trajectories
100
,,ValidationHealthy008:Rdeltoid,,,ValidationHealthy008:RMidArm,,,ValidationHealthy008:RElbRadial,,,ValidationHealthy008:RElbUlna,,,ValidationHealthy008:RMidForeArm,,,ValidationHealthy008:RWrist1,,,ValidationHealthy008:RWrist2,,,ValidationHealthy008:RFingerJoint,,,ValidationHealthy008:LDeltoid,,,ValidationHealthy008:LMidArm,,,ValidationHealthy008:LElbRadial,,,ValidationHealthy008:LElbUlna,,,ValidationHealthy008:LMidForearm,,,ValidationHealthy008:Lwrist1,,,ValidationHealthy008:LWrist2,,,ValidationHealthy008:LFingerJoint,,,ValidationHealthy008:C7,,,ValidationHealthy008:Neck,,,ValidationHealthy008:MidSternum,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,212.552658,191.008041,1090.333862,192.565277,286.448395,926.603943,266.561188,293.759186,807.460205,195.649078,330.871216,834.034729,134.129929,240.433807,805.766296,103.827751,146.662292,741.598328,113.208763,133.572571,806.065735,86.832878,62.333981,773.911621,211.790512,-132.990250,1091.156250,176.797546,-220.289474,888.994568,182.330505,-181.362793,762.704346,169.174500,-244.125778,790.429443,68.201538,-247.358810,799.560547,-37.552700,-253.542358,771.763245,-41.859230,-191.437378,786.005249,-120.397369,-206.308731,782.479126,294.808014,27.816908,1133.777222,167.376404,17.617098,1099.325439,133.473709,21.059912,951.962646
21,0,212.571793,191.027664,1090.319092,192.688431,286.605499,926.641418,266.643402,293.746735,807.458923,195.713837,330.878235,834.038574,134.150497,240.393890,805.729431,103.871536,146.616638,741.565491,113.230209,133.567398,806.047852,86.864716,62.318459,773.900330,211.796875,-132.960098,1091.131470,176.803818,-220.281097,888.991028,182.316544,-181.354248,762.688232,169.191788,-244.102890,790.436707,68.198746,-247.334045,799.566284,-37.550262,-253.523651,771.775879,-41.870468,-191.428192,786.004333,-120.396080,-206.293259,782.476929,294.822601,27.851185,1133.759155,167.372482,17.636347,1099.335693,133.541077,21.036371,951.904968
22,0,212.604568,191.024353,1090.298096,192.822800,286.707794,926.660889,266.732819,293.741455,807.438538,195.784927,330.842377,834.008118,134.208191,240.365738,805.702087,103.913155,146.638977,741.577698,113.267921,133.551010,806.018738,86.894142,62.297676,773.876587,211.813126,-132.961212,1091.146606,176.824646,-220.286102,889.000061,182.328293,-181.329971,762.696350,169.179382,-244.088608,790.439575,68.210197,-247.343399,799.591553,-37.546307,-253.522034,771.778076,-41.857269,-191.431030,786.009644,-120.405968,-206.295700,782.474304,295.318146,27.628397,1133.961792,167.360413,17.635525,1099.333984,133.553177,21.048155,951.882202
23,0,212.655060,191.033386,1090.291138,192.720901,286.498718,926.554443,266.780304,293.721619,807.419800,195.873978,330.820923,834.000916,134.247253,240.368225,805.691040,103.933823,146.703262,741.582397,113.305290,133.544708,805.973938,86.928703,62.287865,773.861145,211.830154,-132.935410,1091.133789,176.833191,-220.272858,889.000000,182.327438,-181.319992,762.696350,169.171509,-244.076950,790.431274,68.196892,-247.324783,799.570435,-37.559711,-253.525223,771.761475,-41.852745,-191.436371,786.009399,-120.401901,-206.300095,782.459717,294.751923,27.956451,1133.754272,167.354218,17.658255,1099.339233,133.561340,21.059776,951.857239
24,0,212.683914,191.079559,1090.285889,192.872238,286.670258,926.584412,266.793701,293.718384,807.368347,195.851105,330.819855,833.927124,134.293671,240.365265,805.642151,103.970222,146.716690,741.573853,113.346138,133.537994,805.946777,86.961693,62.298645,773.860291,211.830765,-132.916275,1091.132690,176.837402,-220.252991,889.034180,182.327057,-181.322647,762.721924,169.182755,-244.074570,790.463074,68.205040,-247.326843,799.607239,-37.550194,-253.535004,771.784973,-41.857342,-191.438828,786.017212,-120.397072,-206.291229,782.472412,294.789795,27.971870,1133.750244,167.351273,17.695395,1099.358154,133.587921,21.054674,951.831482
25,0,212.699219,191.092438,1090.237183,192.961105,286.753052,926.569824,266.953735,293.695221,807.375916,195.935623,330.866302,833.936096,134.319565,240.411987,805.617432,104.004929,146.710663,741.545044,113.371124,133.593567,805.975342,86.997292,62.316231,773.878174,211.816208,-132.885620,1091.140747,176.827591,-220.244720,889.052979,182.310425,-181.326401,762.741638,169.168289,-244.066376,790.472534,68.195854,-247.327545,799.624023,-37.552795,-253.522690,771.789429,-41.868637,-191.424454,786.010864,-120.403038,-206.285538,782.474060,294.794067,27.991755,1133.762573,167.325851,17.759823,1099.356445,133.594513,21.097559,951.830688
26,0,212.726868,191.103729,1090.202515,193.058563,286.841187,926.556885,267.060303,293.705536,807.372620,196.527298,330.807068,834.118530,134.377228,240.431778,805.592712,104.029724,146.735870,741.534180,113.424774,133.608353,805.943298,87.046890,62.333057,773.908752,211.828186,-132.877609,1091.152344,176.839981,-220.233688,889.062012,182.325256,-181.322723,762.750732,169.175659,-244.086548,790.498169,68.195114,-247.326111,799.634583,-37.551910,-253.526413,771.807739,-41.860088,-191.423416,786.007019,-120.404846,-206.283173,782.472412,295.328156,27.691608,1133.966431,167.306961,17.777105,1099.346558,133.655746,21.113594,951.794006
27,0,212.759933,191.129745,1090.190430,193.095032,286.809143,926.513428,267.179932,293.719421,807.343628,196.246277,330.843781,833.945374,134.442764,240.467346,805.594421,104.063431,146.707779,741.520142,113.476944,133.656815,805.962646,87.089081,62.346069,773.911011,211.800140,-132.844650,1091.126709,176.832901,-220.219696,889.078796,182.356171,-181.342392,762.764893,169.170319,-244.094437,790.511292,68.191429,-247.341690,799.652100,-37.550175,-253.527695,771.800537,-41.848164,-191.420853,785.998718,-120.385811,-206.273987,782.468689,294.786163,27.981234,1133.828247,167.302322,17.760756,1099.355835,133.667725,21.133085,951.759949
28,0,212.774628,191.131851,1090.161499,193.016190,286.640533,926.425171,267.306519,293.729004,807.316284,196.311951,330.844513,833.874573,134.501099,240.452744,805.541138,104.093689,146.728577,741.481934,113.500290,133.668427,805.945679,87.111176,62.357281,773.888672,211.789825,-132.833267,1091.141602,176.817123,-220.217545,889.082031,182.353210,-181.376587,762.760864,169.170807,-244.097412,790.518066,68.190445,-247.332153,799.643555,-37.560940,-253.520554,771.794922,-41.850510,-191.409119,785.999268,-120.395241,-206.268494,782.453613,294.822876,28.001066,1133.776489,167.282166,17.777161,1099.338867,133.699677,21.147593,951.715515
29,0,212.795425,191.163483,1090.133911,193.251831,286.925720,926.479919,267.344116,293.718048,807.292358,196.719452,330.807190,833.998474,134.563751,240.452805,805.495178,104.163345,146.723602,741.450256,113.552826,133.656067,805.883423,87.168747,62.384583,773.908630,211.752045,-132.819077,1091.150024,176.807861,-220.222000,889.111023,182.361008,-181.405670,762.778381,169.178833,-244.126404,790.549377,68.202744,-247.355820,799.693237,-37.558929,-253.519684,771.817444,-41.842449,-191.435043,786.010132,-120.391396,-206.254669,782.461792,294.711395,28.063574,1133.813599,167.274780,17.816557,1099.339966,133.718170,21.202759,951.694458
30,0,212.815735,191.164917,1090.081543,193.285248,286.882385,926.415527,267.493225,293.710510,807.277893,196.796356,330.799774,833.975342,134.635025,240.444092,805.463379,104.221970,146.736755,741.414551,113.603165,133.670517,805.862854,87.227158,62.393711,773.838623,211.711044,-132.804977,1091.140381,176.808762,-220.239761,889.124146,182.362595,-181.430161,762.787842,169.170746,-244.140396,790.551392,68.204300,-247.375458,799.694519,-37.566044,-253.536438,771.805603,-41.841625,-191.445526,786.003601,-120.394127,-206.274017,782.455750,294.631775,28.130781,1133.807983,167.236893,17.826715,1099.330078,133.723190,21.205326,951.643555
31,0,212.830841,191.196762,1090.057373,193.367081,286.924469,926.388550,267.451843,293.694000,807.225769,196.515472,330.826172,833.752747,134.711716,240.445480,805.414063,104.269806,146.700699,741.316650,113.681442,133.678833,805.853455,87.300873,62.376511,773.848877,211.679550,-132.743011,1091.107666,176.805847,-220.261536,889.135986,182.370087,-181.449463,762.791626,169.166733,-244.152374,790.560364,68.182785,-247.375748,799.680359,-37.566311,-253.545319,771.815430,-41.849625,-191.439087,786.011292,-120.394829,-206.277237,782.465454,294.682220,28.117123,1133.768188,167.223099,17.834810,1099.320923,133.717041,21.192694,951.613464
32,0,212.828323,191.210754,1090.009033,193.303879,286.748718,926.284912,267.593262,293.657562,807.216675,196.623398,330.829498,833.716125,134.775909,240.496979,805.406738,104.324959,146.704346,741.281189,113.723671,133.723389,805.818298,87.375290,62.386257,773.831970,211.656296,-132.726181,1091.107910,176.789368,-220.263641,889.139587,182.372528,-181.474213,762.781372,169.177505,-244.179657,790.571228,68.190620,-247.392975,799.691101,-37.563702,-253.554199,771.810608,-41.851818,-191.437714,786.008789,-120.390213,-206.284836,782.467529,294.707245,28.101761,1133.746216,167.204178,17.865559,1099.307495,133.711624,21.236084,951.565674
33,0,212.836075,191.233475,1089.937866,193.449463,286.897919,926.273315,267.543304,293.658508,807.133911,196.732513,330.816223,833.672607,134.842697,240.542557,805.359863,104.385628,146.726501,741.253845,113.766823,133.751114,805.776672,87.444977,62.404949,773.795654,211.624847,-132.682953,1091.059448,176.772278,-220.269104,889.140015,182.363342,-181.474243,762.758362,169.159729,-244.191971,790.566589,68.192429,-247.407928,799.696594,-37.570110,-253.534409,771.792908,-41.842609,-191.436188,786.008789,-120.396248,-206.274979,782.452148,294.591705,28.158552,1133.770264,167.146927,17.927153,1099.272583,133.728882,21.249170,951.506042
34,0,212.839371,191.259720,1089.893921,193.493515,286.844574,926.195984,267.529449,293.619049,807.052063,196.806030,330.846405,833.618591,134.946762,240.545593,805.295410,104.424171,146.711685,741.193604,113.831444,133.774811,805.739929,87.472488,62.430576,773.759033,211.602249,-132.678055,1091.052979,176.768433,-220.271164,889.144287,182.352386,-181.496780,762.739807,169.180923,-244.229584,790.579712,68.183365,-247.397324,799.682251,-37.563858,-253.536133,771.796631,-41.838043,-191.436584,785.996094,-120.390976,-206.275558,782.459167,296.779968,26.259287,1134.741455,167.121948,17.931957,1099.258911,133.739914,21.291124,951.483398
35,0,212.835648,191.224106,1089.851563,193.438751,286.651733,926.081421,267.652191,293.550262,807.032288,196.880524,330.840912,833.539734,135.021362,240.532288,805.219971,104.507866,146.725113,741.126587,113.889381,133.763580,805.657776,87.504959,62.410618,773.657104,211.565720,-132.666901,1091.036255,176.744522,-220.272049,889.135986,182.370377,-181.518753,762.732788,169.154663,-244.237900,790.569031,68.171967,-247.401627,799.668274,-37.560970,-253.551178,771.795288,-41.836449,-191.447479,785.979553,-120.388466,-206.276093,782.452759,295.227295,27.798071,1133.967896,167.114151,17.892963,1099.254761,133.740311,21.267145,951.386536
36,0,212.868149,191.246811,1089.800415,193.504395,286.638397,926.026123,267.877960,293.525818,806.994873,196.944839,330.874603,833.478027,135.109833,240.544846,805.169067,104.599861,146.708664,741.076538,113.963928,133.746918,805.608093,87.544266,62.417255,773.609131,211.732880,-132.542145,1091.003906,176.733597,-220.293365,889.137207,182.364136,-181.545593,762.728577,169.143982,-244.250656,790.567871,68.176788,-247.417175,799.687195,-37.564278,-253.556366,771.812439,-41.836914,-191.450760,785.984192,-120.384880,-206.283356,782.460388,295.866150,27.219013,1134.293457,167.078049,17.930031,1099.214111,133.736206,21.294510,951.322998
